21_14_10_519955_query_record_sqlite3_js,0:00:00.101658,5.121,260.734,1346.852
21_14_11_046970_query_record_sqlite3_js,0:00:00.101721,5.123,260.206,1350.377
21_14_11_534225_query_record_sqlite3_js,0:00:00.101895,5.122,263.197,1336.031
21_14_12_006763_query_record_sqlite3_js,0:00:00.096575,5.122,262.280,1340.952
21_14_12_482045_query_record_sqlite3_js,0:00:00.096827,5.122,263.685,1351.893
21_14_12_956755_query_record_sqlite3_js,0:00:00.097316,5.121,262.260,1327.991
21_14_13_431907_query_record_sqlite3_js,0:00:00.096873,5.121,264.222,1334.843
21_14_13_906242_query_record_sqlite3_js,0:00:00.096706,5.122,263.173,1350.500
21_14_14_381751_query_record_sqlite3_js,0:00:00.101793,5.121,262.532,1329.889
21_14_14_855758_query_record_sqlite3_js,0:00:00.096780,5.123,262.363,1340.302
