21_36_36_176559_temperature_from_pressure,0:00:00.997545,5.115,278.958,1420.633
21_36_44_199157_temperature_from_pressure,0:00:00.994523,5.120,259.731,1331.150
21_36_52_205670_temperature_from_pressure,0:00:00.995780,5.120,260.228,1333.192
21_37_00_236612_temperature_from_pressure,0:00:00.993548,5.120,260.622,1334.405
21_37_08_255343_temperature_from_pressure,0:00:00.994994,5.120,259.794,1329.782
21_37_16_272719_temperature_from_pressure,0:00:00.994124,5.121,260.184,1333.692
21_37_24_294058_temperature_from_pressure,0:00:00.991600,5.120,260.269,1330.929
21_37_32_312678_temperature_from_pressure,0:00:00.994775,5.120,260.509,1331.428
21_37_40_331507_temperature_from_pressure,0:00:00.997292,5.120,260.350,1331.712
21_37_48_349769_temperature_from_pressure,0:00:00.994418,5.120,259.972,1333.463
