Name,                                 Length (s),Voltage (V), Current (mA), Power (mW), Energy consumption (Ws)
12_31_01_678627_fibonacci_alg_python,      3.195,      5.101,    356.599,   1819.920,      5.816
12_31_06_604704_fibonacci_alg_python,      3.171,      5.101,    358.419,   1825.798,      5.793
12_31_11_943020_fibonacci_alg_python,      3.174,      5.101,    360.624,   1840.144,      5.805
12_31_17_024713_fibonacci_alg_python,      3.196,      5.101,    357.003,   1819.917,      5.820
12_31_23_467342_fibonacci_alg_python,      3.176,      5.101,    357.608,   1824.703,      5.796
12_31_28_639246_fibonacci_alg_python,      3.215,      5.101,    358.923,   1830.533,      5.857
12_31_33_831814_fibonacci_alg_python,      3.148,      5.100,    360.916,   1841.603,      5.799
12_31_38_675141_fibonacci_alg_python,      3.177,      5.100,    361.053,   1839.792,      5.848
12_31_43_700580_fibonacci_alg_python,      3.156,      5.100,    362.317,   1845.252,      5.824
12_31_48_633530_fibonacci_alg_python,      3.205,      5.101,    358.186,   1827.794,      5.861

12_31_51_295307_fibonacci_alg_js    ,      1.535,      5.097,    374.177,   1902.535,      2.923
12_31_53_984770_fibonacci_alg_js    ,      1.498,      5.095,    382.054,   1946.151,      2.918
12_31_56_597737_fibonacci_alg_js    ,      1.447,      5.094,    388.265,   1978.405,      2.866
12_31_59_349867_fibonacci_alg_js    ,      1.448,      5.094,    388.219,   1978.441,      2.867
12_32_02_186264_fibonacci_alg_js    ,      1.464,      5.095,    384.561,   1961.896,      2.876
12_32_05_101139_fibonacci_alg_js    ,      1.466,      5.095,    384.214,   1958.114,      2.873
12_32_08_015004_fibonacci_alg_js    ,      1.462,      5.095,    385.045,   1957.961,      2.864
12_32_10_932263_fibonacci_alg_js    ,      1.462,      5.095,    384.031,   1956.943,      2.863
12_32_13_817097_fibonacci_alg_js    ,      1.469,      5.095,    383.926,   1957.093,      2.876
12_32_16_687121_fibonacci_alg_js    ,      1.468,      5.095,    384.385,   1954.830,      2.872

12_39_18_115562_fibonacci_cpp_O0    ,      0.181,      5.119,    287.386,   1449.242,      0.264
12_39_25_476799_fibonacci_cpp_O0    ,      0.181,      5.118,    290.428,   1480.642,      0.268
12_39_29_061266_fibonacci_cpp_O0    ,      0.190,      5.119,    283.735,   1470.415,      0.279
12_39_31_728348_fibonacci_cpp_O0    ,      0.194,      5.119,    280.391,   1437.620,      0.279
12_39_38_131191_fibonacci_cpp_O0    ,      0.180,      5.118,    284.178,   1454.018,      0.262
12_39_40_916277_fibonacci_cpp_O0    ,      0.194,      5.117,    282.298,   1439.143,      0.279
12_39_43_813923_fibonacci_cpp_O0    ,      0.194,      5.119,    280.665,   1436.621,      0.279
12_39_48_865879_fibonacci_cpp_O0    ,      0.191,      5.118,    281.898,   1454.780,      0.278
12_39_52_886813_fibonacci_cpp_O0    ,      0.194,      5.119,    280.146,   1436.954,      0.279
12_39_55_599977_fibonacci_cpp_O0    ,      0.189,      5.119,    282.333,   1451.829,      0.275

12_39_21_220208_fibonacci_cpp_O1    ,      0.131,      5.120,    274.014,   1392.613,      0.182
12_39_25_949592_fibonacci_cpp_O1    ,      0.117,      5.115,    301.073,   1535.844,      0.180
12_39_29_544126_fibonacci_cpp_O1    ,      0.117,      5.114,    297.280,   1537.639,      0.180
12_39_32_600886_fibonacci_cpp_O1    ,      0.131,      5.119,    272.354,   1399.268,      0.184
12_39_38_709790_fibonacci_cpp_O1    ,      0.112,      5.113,    299.307,   1519.512,      0.170
12_39_42_526031_fibonacci_cpp_O1    ,      0.132,      5.120,    272.993,   1409.338,      0.186
12_39_44_139095_fibonacci_cpp_O1    ,      0.131,      5.120,    273.528,   1395.226,      0.183
12_39_49_470303_fibonacci_cpp_O1    ,      0.117,      5.115,    297.024,   1517.268,      0.177
12_39_53_190893_fibonacci_cpp_O1    ,      0.117,      5.114,    298.072,   1533.658,      0.179
12_39_56_064061_fibonacci_cpp_O1    ,      0.114,      5.115,    304.404,   1518.293,      0.173

12_39_22_852395_fibonacci_cpp_O2    ,      0.128,      5.120,    275.044,   1398.844,      0.180
12_39_26_432662_fibonacci_cpp_O2    ,      0.128,      5.119,    270.623,   1393.532,      0.178
12_39_30_030480_fibonacci_cpp_O2    ,      0.128,      5.120,    272.154,   1388.003,      0.178
12_39_32_921278_fibonacci_cpp_O2    ,      0.128,      5.122,    275.116,   1396.567,      0.179
12_39_39_336771_fibonacci_cpp_O2    ,      0.128,      5.122,    270.164,   1386.522,      0.178
12_39_42_829464_fibonacci_cpp_O2    ,      0.128,      5.122,    272.360,   1400.542,      0.180
12_39_44_471820_fibonacci_cpp_O2    ,      0.128,      5.121,    272.036,   1396.423,      0.179
12_39_50_067274_fibonacci_cpp_O2    ,      0.129,      5.122,    269.738,   1380.524,      0.178
12_39_54_225072_fibonacci_cpp_O2    ,      0.128,      5.121,    270.089,   1382.547,      0.177
12_39_56_393620_fibonacci_cpp_O2    ,      0.126,      5.119,    277.062,   1412.610,      0.178

12_39_24_606531_fibonacci_cpp_O3    ,      0.131,      5.121,    271.873,   1389.826,      0.182
12_39_26_760224_fibonacci_cpp_O3    ,      0.131,      5.120,    273.688,   1398.223,      0.183
12_39_30_625021_fibonacci_cpp_O3    ,      0.131,      5.121,    273.458,   1390.488,      0.183
12_39_34_682006_fibonacci_cpp_O3    ,      0.131,      5.119,    289.218,   1444.181,      0.190
12_39_39_799389_fibonacci_cpp_O3    ,      0.137,      5.120,    272.848,   1407.771,      0.194
12_39_43_136307_fibonacci_cpp_O3    ,      0.131,      5.120,    272.469,   1388.083,      0.183
12_39_46_378245_fibonacci_cpp_O3    ,      0.131,      5.121,    270.592,   1382.160,      0.181
12_39_50_712597_fibonacci_cpp_O3    ,      0.131,      5.119,    274.669,   1385.714,      0.182
12_39_54_575293_fibonacci_cpp_O3    ,      0.132,      5.121,    272.944,   1385.644,      0.183
12_39_56_714090_fibonacci_cpp_O3    ,      0.131,      5.119,    273.556,   1395.122,      0.183

12_39_24_940496_fibonacci_cpp_Os    ,      0.128,      5.121,    271.380,   1388.076,      0.177
12_39_27_231255_fibonacci_cpp_Os    ,      0.128,      5.121,    270.042,   1381.933,      0.177
12_39_30_951089_fibonacci_cpp_Os    ,      0.128,      5.122,    271.949,   1387.353,      0.178
12_39_36_295254_fibonacci_cpp_Os    ,      0.133,      5.121,    270.756,   1407.038,      0.187
12_39_40_509704_fibonacci_cpp_Os    ,      0.128,      5.122,    271.940,   1402.638,      0.180
12_39_43_437233_fibonacci_cpp_Os    ,      0.128,      5.121,    271.790,   1387.425,      0.178
12_39_46_870990_fibonacci_cpp_Os    ,      0.128,      5.121,    271.259,   1396.603,      0.179
12_39_52_333470_fibonacci_cpp_Os    ,      0.128,      5.120,    271.928,   1395.664,      0.179
12_39_55_055097_fibonacci_cpp_Os    ,      0.128,      5.122,    270.927,   1377.236,      0.177
12_39_57_045550_fibonacci_cpp_Os    ,      0.135,      5.119,    272.251,   1392.195,      0.188
